,ANET,AXON,AXP,BK,CAH,CBRE,COR,EME,EQT,GILD,GS,JCI,KMI,MCK,MS,NDAQ,NI,PWR,RJF,STX,TPR,WDC,WELL,WMB,WSM
ANET,1.0,0.30883647334670067,0.35658705861308715,0.2812552731238217,0.0972070464000258,0.31985760897754806,0.03020919307850085,0.4439135872483738,0.17508776731275424,0.03238773553342896,0.36515324800699056,0.37489722744978077,0.2195570882465766,0.06833407590404351,0.3599832132678937,0.31907443194356294,0.10023145024061461,0.47036162368034223,0.3547995157792195,0.3782029034313433,0.2937681846789992,0.4114232301729489,0.14160764742291332,0.25041209140443027,0.304365267547851
AXON,0.30883647334670067,1.0,0.27231868898135314,0.21832877097212458,0.09845943007892591,0.29714074572408866,0.019863310498253357,0.31469845290596243,0.16531176640539777,0.05948616949711322,0.30103643943267194,0.33430495836465046,0.15311258007334133,0.03024659002791977,0.2743533648815764,0.30797039627130024,0.10864134596628842,0.32269156601037846,0.27258153544541425,0.2335173140317814,0.29460910295069787,0.2483584800033752,0.14281988581667224,0.15487265497959088,0.2613492057785177
AXP,0.35658705861308715,0.27231868898135314,1.0,0.6217124533621574,0.2789642702786048,0.5499258288035956,0.189702982752555,0.4563398753187645,0.3039931368526374,0.22989755662338437,0.6601048678227561,0.5469364469761451,0.44132818506750393,0.1492773668524192,0.669232929522995,0.4552611235243376,0.2914472180308601,0.43479794304159436,0.663424808162769,0.36119861555795146,0.4875902611159609,0.4078960966369753,0.35665257412676116,0.418778732535702,0.36103936037176415
BK,0.2812552731238217,0.21832877097212458,0.6217124533621574,1.0,0.29896632420363495,0.5368417827381885,0.24940696903929394,0.4183948215116892,0.3217382369742326,0.23325686896938766,0.67847021937147,0.49056806963407923,0.46688825210515006,0.20173698181204505,0.6967898738679102,0.4420435131862065,0.31186928721689483,0.40297528159875134,0.6718151101059711,0.336703083244872,0.4334983872796156,0.3650070013730391,0.3477289446606168,0.4164025042418225,0.3289213820889573
CAH,0.0972070464000258,0.09845943007892591,0.2789642702786048,0.29896632420363495,1.0,0.23211462920068873,0.6366504861028637,0.15514973540230825,0.2037600421257176,0.2577358135797764,0.24728184713566848,0.24312039085454243,0.2906576481940345,0.60425900910097,0.25381778447154507,0.24724200417508047,0.25586826842885707,0.1509571883523306,0.2667171630073154,0.15121641972617889,0.14196120871032497,0.1453956359601808,0.24028881182503717,0.2855898390704077,0.09897633050020054
CBRE,0.31985760897754806,0.29714074572408866,0.5499258288035956,0.5368417827381885,0.23211462920068873,1.0,0.18758067747128843,0.40997071699945864,0.24648471715446532,0.22040877550392957,0.5565418187837834,0.47561947434008267,0.3809583138687959,0.14272974489305462,0.5559868028254514,0.4964752721106803,0.3763577188470771,0.41134963138132763,0.5410487608565239,0.359466367005756,0.4773422292812814,0.36787257889581854,0.4555888833586841,0.3709261471665963,0.3973054642104627
COR,0.03020919307850085,0.019863310498253357,0.189702982752555,0.24940696903929394,0.6366504861028637,0.18758067747128843,1.0,0.14640276393319981,0.19472313299952676,0.251298887596957,0.18067656507997812,0.19630448236617873,0.2847298389796997,0.7273146111045142,0.18419232204277394,0.19653560180147872,0.30034901629897803,0.13286574691916073,0.21562599317203598,0.0661132817550945,0.05504402045570826,0.07167787878778362,0.29026180162559195,0.27292126830556956,0.07269388976106517
EME,0.4439135872483738,0.31469845290596243,0.4563398753187645,0.4183948215116892,0.15514973540230825,0.40997071699945864,0.14640276393319981,1.0,0.2865835923010373,0.08914557912733403,0.5037936505614466,0.5508786830841552,0.3845159833937687,0.14281961776885507,0.48706179066234095,0.3321704925119569,0.26030945216790846,0.6414742339661502,0.46977855614645553,0.35141358700310404,0.394386029719139,0.40648363975338403,0.24414260191834636,0.39036296007715504,0.313175298873497
EQT,0.17508776731275424,0.16531176640539777,0.3039931368526374,0.3217382369742326,0.2037600421257176,0.24648471715446532,0.19472313299952676,0.2865835923010373,1.0,0.06421352655938613,0.3469188037405434,0.2773352913079525,0.5681119506977249,0.1652077121122292,0.35002082605062385,0.22467102698632163,0.25929753606176204,0.32475733590106093,0.34269863196849004,0.23703604550022056,0.23428966953793112,0.27242399273046547,0.2226582381655834,0.5819633898958257,0.18683818116046916
GILD,0.03238773553342896,0.05948616949711322,0.22989755662338437,0.23325686896938766,0.2577358135797764,0.22040877550392957,0.251298887596957,0.08914557912733403,0.06421352655938613,1.0,0.20118834228175414,0.21112529264126537,0.18712465726321317,0.22050750399728822,0.20387468466256015,0.26430956186917703,0.24888761410947197,0.08786871346901173,0.22784212246078264,0.11279221149495451,0.15751032138556673,0.0936000571043439,0.19750533190618305,0.17247895135860614,0.13779471486854467
GS,0.36515324800699056,0.30103643943267194,0.6601048678227561,0.67847021937147,0.24728184713566848,0.5565418187837834,0.18067656507997812,0.5037936505614466,0.3469188037405434,0.20118834228175414,1.0,0.5611569750440116,0.4818102180260265,0.15568666891692054,0.8440510112363298,0.46819953311220164,0.2759407387797661,0.4468651135529295,0.6847234936142995,0.3859194895831828,0.4789766860331861,0.43779582333548717,0.3099348424274157,0.4353016379522511,0.39430587627022823
