,ANET,AXON,AXP,BK,CAH,CBRE,COR,EME,EQT,GILD,GS,JCI,KMI,MCK,MS,NDAQ,NI,PWR,RJF,STX,TPR,WDC,WELL,WMB,WSM
ANET,0.0007846370313288069,0.0002546519561923402,0.00018471378643860635,0.000124740493515475,4.2777473180672556e-05,0.00016614207661905405,1.1156201266269099e-05,0.00025570644218990185,0.00014151684034358807,1.3475724037134557e-05,0.00017694283442930617,0.00018228800202966676,8.973462949690213e-05,2.7641203020139e-05,0.00018180380374918146,0.00013002774311209763,3.634043117359498e-05,0.00028586298217753414,0.00017382490059562978,0.00026868311125795915,0.0002087823739585996,0.0003253511317597331,6.0797010512760585e-05,0.00010690689897298734,0.00024769812694752115
AXON,0.0002546519561923402,0.0008664989949596132,0.00014823843186783118,0.00010175772421467312,4.553279698784407e-05,0.00016219400136586255,7.708652674961755e-06,0.00019049670608878533,0.00014041248205893433,2.6009808804000795e-05,0.0001532944782777782,0.00017081983791574103,6.57617129893622e-05,1.2857178281234242e-05,0.00014560645833625778,0.00013188719231031835,4.139337427004549e-05,0.00020609302082015207,0.0001403379201864609,0.00017433485620982705,0.00022003150267092437,0.000206391656435458,6.443677996895412e-05,6.948240007259332e-05,0.00022351076585024805
AXP,0.00018471378643860635,0.00014823843186783118,0.00034197839195141837,0.00018203767644085615,8.104587120411842e-05,0.0001885784224838519,4.6250486740436326e-05,0.0001735387973535924,0.00016221127204038867,6.314963029357166e-05,0.00021117168228033823,0.00017556892650657233,0.00011908010476365251,3.986378329467513e-05,0.00022313256138370907,0.00012248122409177554,6.976071260404203e-05,0.0001744530040899035,0.00021457820658512004,0.00016940511511096486,0.00022877524383778844,0.00021295017139947125,0.00010108944503933662,0.00011803206013891922,0.000193975604680114
BK,0.000124740493515475,0.00010175772421467312,0.00018203767644085615,0.00025069447785493404,7.436655019539003e-05,0.00015761851852757526,5.2062351935383075e-05,0.0001362283559813124,0.00014699175656759835,5.485850264848331e-05,0.00018583460326021683,0.00013482893894295014,0.00010786077615015523,4.612571565576416e-05,0.00019891179208452017,0.0001018232664784066,6.391409630073071e-05,0.00013843389228894023,0.0001860444513981031,0.00013520743898096682,0.00017414641615086542,0.0001631558651483333,8.438676588393008e-05,0.00010048511939359593,0.00015130654713223845
CAH,4.2777473180672556e-05,4.553279698784407e-05,8.104587120411842e-05,7.436655019539003e-05,0.00024681182278567075,6.761982465364635e-05,0.00013186418956562387,5.012366861641804e-05,9.236765536035669e-05,6.014435524350839e-05,6.720454223875538e-05,6.630034995241061e-05,6.662587809775047e-05,0.0001370854394006634,7.189378429622498e-05,5.6508639900796056e-05,5.2029669949975046e-05,5.1455098828505636e-05,7.328726481556775e-05,6.025083090841505e-05,5.658578426698812e-05,6.448570657695794e-05,5.785989567072564e-05,6.838199513720087e-05,4.51759775158379e-05
CBRE,0.00016614207661905405,0.00016219400136586255,0.0001885784224838519,0.00015761851852757526,6.761982465364635e-05,0.00034385638647838843,4.58584596188265e-05,0.00015633283945808862,0.00013188532154993155,6.070920603685218e-05,0.0001785294067494411,0.00015309451519075003,0.00010307283330853209,3.8219786047985275e-05,0.00018588286012804895,0.0001339355265295531,9.033187734960265e-05,0.00016549744698197042,0.0001754767268452309,0.0001690549608435762,0.00022458103336937525,0.00019258172657992553,0.00012948599028258349,0.00010483155607082961,0.00021404560546807127
COR,1.1156201266269099e-05,7.708652674961755e-06,4.6250486740436326e-05,5.2062351935383075e-05,0.00013186418956562387,4.58584596188265e-05,0.00017381435071148023,3.969181167807691e-05,7.407612945969209e-05,4.921194219652031e-05,4.120672051094587e-05,4.4924627756794794e-05,5.477142102253812e-05,0.00013846829415978387,4.3782509825019856e-05,3.7695861010220394e-05,5.1253165121799885e-05,3.800559072277261e-05,4.972084476277279e-05,2.2106125952786322e-05,1.8412282689542326e-05,2.6678233623279902e-05,5.8653484561793816e-05,5.483984673857515e-05,2.7844149289221765e-05
EME,0.00025570644218990185,0.00019049670608878533,0.0001735387973535924,0.0001362283559813124,5.012366861641804e-05,0.00015633283945808862,3.969181167807691e-05,0.0004228805028023181,0.00017005056199807927,2.722988239383114e-05,0.00017921936414416075,0.00019664198700866954,0.0001153722703839614,4.24113319626328e-05,0.0001805839747515548,9.937553982886644e-05,6.928678826503041e-05,0.00028620662771184204,0.00016896493695058864,0.00018327722037770307,0.00020577140598156346,0.00023598316059273886,7.695086682052477e-05,0.00012234704091090997,0.0001871067959854185
EQT,0.00014151684034358807,0.00014041248205893433,0.00016221127204038867,0.00014699175656759835,9.236765536035669e-05,0.00013188532154993155,7.407612945969209e-05,0.00017005056199807927,0.0008325989071981349,2.7522099703607687e-05,0.00017316860955635344,0.00013891031997546047,0.00023918285983912544,6.883882514071336e-05,0.0001820950412294287,9.43136620416618e-05,9.68429408737898e-05,0.0002033145815559453,0.00017295170978467496,0.00017346562330315088,0.0001715243291422052,0.00022191792540312302,9.847314378515246e-05,0.00025593496364848255,0.0001566306605491219
GILD,1.3475724037134557e-05,2.6009808804000795e-05,6.314963029357166e-05,5.485850264848331e-05,6.014435524350839e-05,6.070920603685218e-05,4.921194219652031e-05,2.722988239383114e-05,2.7522099703607687e-05,0.00022063491906698746,5.1696762635457336e-05,5.443633075246636e-05,4.0555181809736496e-05,4.729831962282178e-05,5.4599258142629495e-05,5.711624107549461e-05,4.785111583504181e-05,2.8318029525567178e-05,5.91923677143143e-05,4.249103847241665e-05,5.936094592058375e-05,3.925024294724779e-05,4.496525543630839e-05,3.904714303008442e-05,5.946520421575493e-05
