ticker,price_m2,actual_date_m2,momentum_value_12m,volatility_12m,risk_adj_momentum_12m,price_m14,actual_date_m14,trading_days_12m,momentum_value,volatility,risk_adj_momentum,momentum_value_6m,volatility_6m,risk_adj_momentum_6m,price_m8,actual_date_m8,trading_days_6m
MMM,154.27000427246094,2025-09-02,0.16818239853027417,0.018253369345500953,9.213772829931115,132.0598602294922,2024-08-30,251,0.16818239853027417,0.018253369345500953,9.213772829931115,0.0040089895906292305,0.021719569375196857,0.18457960751318508,153.6540069580078,2025-02-28,128
AOS,70.00013732910156,2025-09-02,-0.1428290088746299,0.01587082902034588,-8.99946743119265,81.66414642333984,2024-08-30,251,-0.1428290088746299,0.01587082902034588,-8.99946743119265,0.06919469696766645,0.017305813191407997,3.9983499303008934,65.46996307373047,2025-02-28,128
ABT,130.87802124023438,2025-09-02,0.18289435876600701,0.013747761791597774,13.30357344988234,110.6421890258789,2024-08-30,251,0.18289435876600701,0.013747761791597774,13.30357344988234,-0.038752394091231546,0.015203302741251257,-2.5489457620339513,136.15432739257812,2025-02-28,128
ABBV,210.40318298339844,2025-09-02,0.11812440623133957,0.01752461309396792,6.740485829727032,188.17510986328125,2024-08-30,251,0.11812440623133957,0.01752461309396792,6.740485829727032,0.03203248979099382,0.017351408083007024,1.846103188729946,203.8726348876953,2025-02-28,128
ACN,256.1700134277344,2025-09-02,-0.2370668363007019,0.0176915816643188,-13.399979764320863,335.7699279785156,2024-08-30,251,-0.2370668363007019,0.0176915816643188,-13.399979764320863,-0.2575958380970802,0.01926246691955737,-13.37294123192189,345.0546569824219,2025-02-28,128
ADBE,345.6300048828125,2025-09-02,-0.3982869012689545,0.021627171797392226,-18.416041866231414,574.4099731445312,2024-08-30,251,-0.3982869012689545,0.021627171797392226,-18.416041866231414,-0.21189801439508937,0.02222284752063589,-9.535142343856846,438.55999755859375,2025-02-28,128
AMD,162.32000732421875,2025-09-02,0.09262257668116813,0.03305975446175497,2.8016716454539354,148.55999755859375,2024-08-30,251,0.09262257668116813,0.03305975446175497,2.8016716454539354,0.62547572934215,0.03777445127910291,16.55816850179284,99.86000061035156,2025-02-28,128
AES,13.241657257080078,2025-09-02,-0.1708158171563433,0.03125249571815733,-5.4656696443318395,15.969500541687012,2024-08-30,251,-0.1708158171563433,0.03125249571815733,-5.4656696443318395,0.1937376267437978,0.034639761264137085,5.592926154037223,11.092602729797363,2025-02-28,128
AFL,105.62000274658203,2025-09-02,-0.02260518829243563,0.013917147308842373,-1.6242688096053448,108.06278228759766,2024-08-30,251,-0.02260518829243563,0.013917147308842373,-1.6242688096053448,-0.024548996176076643,0.01493848936497869,-1.6433385984548419,108.27812194824219,2025-02-28,128
A,124.95907592773438,2025-09-02,-0.11717583128482745,0.019550197369584934,-5.993588150016471,141.54469299316406,2024-08-30,251,-0.11717583128482745,0.019550197369584934,-5.993588150016471,-0.017039874535515698,0.02261929978813549,-0.7533334230113361,127.12527465820312,2025-02-28,128
