ticker,avg_esg_score,count,std
A,8.1,3,0.1732
AAPL,5.4,3,0.2646
ABBV,6.0667,3,1.8475
ABNB,3.6667,3,0.1155
ABT,4.2333,3,1.097
ACGL,6.5,3,1.4526
ACN,7.8333,3,0.5132
ADBE,10.0,3,0.0
ADI,7.0333,3,1.6042
ADM,7.8,3,0.3606
ADP,9.6,3,0.5292
ADSK,10.0,3,0.0
AEE,6.9667,3,0.2309
AEP,6.7,3,0.0
AFL,6.3667,3,1.365
AIG,5.1,3,0.7937
AJG,5.1,3,0.9849
AKAM,8.4333,3,1.0504
ALGN,6.3333,3,0.1528
ALL,5.7667,3,1.3614
ALLE,8.3333,3,0.2082
AMAT,9.8667,3,0.1155
AMCR,7.3,3,0.5
AMD,7.9333,3,0.1528
AME,5.3667,3,0.8021
AMGN,7.0333,3,0.7767
AMP,6.4667,3,0.4041
AMT,8.9,3,0.4583
AMZN,5.0667,3,0.5033
ANET,7.3667,3,0.3055
AON,6.0,3,0.4359
APD,5.8667,3,0.4041
APH,4.9333,3,1.2503
APO,5.7667,3,0.5686
APP,3.8,3,1.1269
APTV,6.2,1,
ARE,5.1,3,0.6245
ATO,6.7667,3,0.8021
AVB,6.6,3,0.3606
AVGO,6.8,3,0.8544
AVY,7.8667,3,0.3786
AWK,6.6667,3,0.6506
AXON,8.1667,3,0.0577
AXP,7.6667,3,0.5508
AZO,5.8667,3,0.6506
BA,3.8,3,0.6557
BAC,6.2333,3,0.3512
BALL,8.6,3,0.7211
BAX,5.6,3,0.5292
BBY,9.8333,3,0.2887
BDX,5.2,3,0.6083
BF/B,6.9,3,0.5568
BG,9.8333,3,0.2887
BIIB,7.9667,3,0.4041
BK,8.0,3,0.1732
BKNG,6.7,3,0.3
BKR,8.1333,3,0.3512
BLDR,6.3667,3,0.6028
BLK,6.35,2,0.7778
BMY,6.7333,3,0.2517
BR,9.0,3,0.8888
BRK/B,3.6333,3,0.3786
BRO,5.7,3,0.6
BSX,4.3333,3,0.4619
BX,3.1333,3,0.5686
BXP,7.5667,3,0.2887
C,6.6667,3,0.5132
CAH,8.0,3,1.9672
CARR,8.3333,3,0.2082
CAT,7.4333,3,0.8083
CB,5.2667,3,0.6429
CBOE,7.6667,3,0.8083
CBRE,9.1667,3,0.7095
CCI,9.4333,3,0.5132
CCL,3.1333,3,0.611
CDNS,8.8333,3,1.0214
CDW,5.9,3,0.5196
CEG,4.5,3,0.0
CF,5.1667,3,0.3215
CFG,6.7667,3,0.0577
CHD,8.7,3,0.5196
CHRW,9.3,3,0.6245
CHTR,5.0333,3,0.6658
CI,8.2333,3,0.3055
CINF,4.5,3,1.044
CL,7.2,3,1.1136
CLX,9.4667,3,0.9238
CMCSA,5.3,3,0.3464
CME,5.2,3,0.7937
CMG,6.0367,3,0.755
CMI,9.6,3,0.6928
CMS,7.2667,3,0.4933
CNC,7.4667,3,0.7767
CNP,6.1,3,1.3528
COF,6.9,3,0.7211
COIN,3.6,3,0.6557
COO,8.4667,3,1.2503
COP,7.2333,3,0.9292
COR,8.3867,3,0.1501
COST,6.1,3,0.9539
CPAY,3.7667,3,0.3512
CPRT,6.6333,3,0.5508
CPT,4.5667,3,0.6351
CRM,8.3667,3,0.0577
CRWD,5.5333,3,1.2702
CSCO,7.7,3,0.0
CSGP,4.9333,3,0.9713
CSX,7.0,3,0.7
CTAS,6.3333,3,0.2082
CTRA,5.1,3,0.7
CTSH,5.9333,3,0.5508
CTVA,5.5,3,0.1
CVS,5.6667,3,0.8622
CVX,5.4667,3,1.8877
D,7.5333,3,0.0577
DAL,8.1333,3,0.2517
DASH,4.4333,3,0.3055
DD,6.7,3,0.4
DDOG,6.4333,3,0.8386
DE,7.8333,3,0.5859
DECK,9.5,3,0.866
DELL,6.7,3,0.6083
DG,6.2,3,0.3606
DGX,8.2667,3,0.9238
DHI,6.6333,3,0.2309
DHR,7.5,3,0.7
DIS,6.0,3,1.3454
DLR,8.3667,3,0.7506
DLTR,7.1333,3,0.3215
DOC,7.2,3,0.2
DOV,7.7,3,0.3464
