ticker,weight,price,dollar_allocation,shares,momentum_score_12m,avg_esg_score
MCK,0.29071520052968924,842.0900268554688,290715.20052968926,345.230547,1.8296259899953915,8.0
EME,0.17640595802810527,619.8599853515625,176405.95802810526,284.590008,2.472795832688103,8.2667
COR,0.11706906845628104,361.94000244140625,117069.06845628103,323.448825,2.1317844973545856,8.3867
WMB,0.31834171014909673,60.9900016784668,318341.71014909673,5219.572084,2.1060617185446504,7.8
PWR,0.06124635373542304,429.29998779296875,61246.353735423036,142.665631,1.876852037794345,7.5667
CAH,0.041725914243400226,205.3699951171875,41725.91424340023,203.174345,2.5928764909826807,8.0
GS,0.18950001114333692,790.9099731445312,189500.01114333692,239.597448,2.4151101428629023,7.3
ANET,0.08977553101767247,131.3699951171875,89775.53101767246,683.379267,1.92758231375467,7.3667
WELL,0.21366390704519045,193.82000732421875,213663.90704519046,1102.383134,3.062831394487896,7.5
BK,0.0713736878682909,110.4800033569336,71373.6878682909,646.032637,3.699972045370299,8.0
STX,0.1005835272060256,258.2099914550781,100583.52720602561,389.541577,3.0109671425589903,8.0333
MS,-0.09765152158942181,163.86000061035156,-97651.52158942181,-595.944838,2.49867860541264,7.7
KMI,-0.30910314847220727,27.420000076293945,-309103.14847220725,-11272.908374,2.1230339838527263,9.3333
AXP,-0.04953131407187223,357.17999267578125,-49531.31407187223,-138.67326,1.8673502865047904,7.6667
WDC,-0.034334324412862265,157.8300018310547,-34334.32441286227,-217.53991,2.488891935875971,8.8
TPR,0.05957343650456441,101.41000366210938,59573.43650456441,587.45128,4.0,7.4333
RJF,-0.09161472010882102,158.72999572753906,-91614.72010882101,-577.173329,2.5591632082669857,7.5
JCI,-0.15194971971417548,118.72000122070312,-151949.71971417547,-1279.899917,2.641327931217197,8.3
GILD,0.1537800200847377,125.0199966430664,153780.0200847377,1230.043387,2.8541877749324938,9.8667
AXON,0.06759143657146695,554.3699951171875,67591.43657146695,121.924774,2.95314850671574,8.1667
EQT,0.021880094501753954,59.900001525878906,21880.094501753952,365.277027,2.5939683530174484,8.1333
WSM,0.041358498188505045,182.24000549316406,41358.498188505044,226.94522,1.8331121807225224,10.0
NDAQ,-0.07653582826499891,87.08000183105469,-76535.82826499891,-878.913949,2.425582055626326,8.0
NI,-0.047363599713775885,42.880001068115234,-47363.59971377588,-1104.561533,2.728102274003644,8.9
CBRE,-0.1565001789254049,153.66000366210938,-156500.1789254049,-1018.483504,2.2905534376658205,9.1667
