ticker,Symbol,Total ESG Risk score,ESG Risk Percentile (num),rank_score
XOM,XOM,41.6,93.0,-93.0
OXY,OXY,41.7,93.0,-93.0
GE,GE,40.5,92.0,-92.0
BA,BA,39.6,91.0,-91.0
TDG,TDG,38.7,90.0,-90.0
MRO,MRO,37.7,89.0,-89.0
MMM,MMM,37.3,89.0,-89.0
PWR,PWR,36.9,88.0,-88.0
WFC,WFC,36.2,87.0,-87.0
CVX,CVX,36.6,87.0,-87.0
CAT,CAT,36.2,86.0,-86.0
CTRA,CTRA,36.1,86.0,-86.0
EQT,EQT,35.7,85.0,-85.0
TSN,TSN,35.9,85.0,-85.0
GD,GD,35.2,84.0,-84.0
PSX,PSX,35.4,84.0,-84.0
ATO,ATO,34.6,83.0,-83.0
APA,APA,38.8,83.0,-83.0
FTV,FTV,34.8,83.0,-83.0
META,META,34.1,81.0,-81.0
EOG,EOG,34.2,81.0,-81.0
COP,COP,33.9,81.0,-81.0
MOS,MOS,33.5,80.0,-80.0
DVN,DVN,33.8,80.0,-80.0
TXT,TXT,33.6,80.0,-80.0
KHC,KHC,33.7,80.0,-80.0
TRGP,TRGP,33.2,79.0,-79.0
HES,HES,33.1,79.0,-79.0
STLD,STLD,33.0,78.0,-78.0
BG,BG,32.9,78.0,-78.0
UHS,UHS,33.0,78.0,-78.0
SO,SO,33.0,78.0,-78.0
NUE,NUE,32.8,78.0,-78.0
VLO,VLO,32.6,77.0,-77.0
MCHP,MCHP,31.8,75.0,-75.0
NRG,NRG,32.0,75.0,-75.0
ADM,ADM,31.8,75.0,-75.0
PPL,PPL,31.3,74.0,-74.0
FCX,FCX,31.6,74.0,-74.0
MO,MO,31.3,74.0,-74.0
FMC,FMC,30.7,72.0,-72.0
CAG,CAG,30.8,72.0,-72.0
PNW,PNW,30.8,72.0,-72.0
SJM,SJM,30.5,71.0,-71.0
SNA,SNA,30.5,71.0,-71.0
MPC,MPC,30.5,71.0,-71.0
LUV,LUV,30.7,71.0,-71.0
AMZN,AMZN,30.6,71.0,-71.0
PCG,PCG,30.4,70.0,-70.0
DAL,DAL,30.3,70.0,-70.0
USB,USB,30.3,70.0,-70.0
LMT,LMT,30.2,70.0,-70.0
ABBV,ABBV,29.9,69.0,-69.0
MLM,MLM,30.1,69.0,-69.0
HRL,HRL,30.0,69.0,-69.0
DTE,DTE,29.8,68.0,-68.0
TFX,TFX,29.6,67.0,-67.0
PH,PH,29.5,67.0,-67.0
SHW,SHW,29.4,66.0,-66.0
DPZ,DPZ,29.2,66.0,-66.0
IEX,IEX,29.3,66.0,-66.0
CF,CF,29.3,66.0,-66.0
C,C,29.2,66.0,-66.0
JPM,JPM,29.3,66.0,-66.0
VMC,VMC,29.3,66.0,-66.0
MNST,MNST,29.2,66.0,-66.0
UAL,UAL,28.6,64.0,-64.0
CNP,CNP,28.7,64.0,-64.0
HCA,HCA,28.8,64.0,-64.0
HON,HON,28.6,64.0,-64.0
K,K,28.4,63.0,-63.0
PM,PM,28.5,63.0,-63.0
QRVO,QRVO,28.5,63.0,-63.0
KMB,KMB,28.5,63.0,-63.0
GM,GM,28.5,63.0,-63.0
DD,DD,28.6,63.0,-63.0
PG,PG,28.6,63.0,-63.0
BAC,BAC,28.3,62.0,-62.0
SYK,SYK,28.3,62.0,-62.0
BBWI,BBWI,28.3,62.0,-62.0
EMR,EMR,28.4,62.0,-62.0
SWKS,SWKS,28.0,61.0,-61.0
PCAR,PCAR,27.6,60.0,-60.0
EXPE,EXPE,27.6,60.0,-60.0
EIX,EIX,27.5,59.0,-59.0
NOC,NOC,27.5,59.0,-59.0
WEC,WEC,27.5,59.0,-59.0
DRI,DRI,27.5,59.0,-59.0
PEG,PEG,27.2,58.0,-58.0
AEE,AEE,27.2,58.0,-58.0
DUK,DUK,27.0,57.0,-57.0
RJF,RJF,27.0,57.0,-57.0
ETR,ETR,26.7,56.0,-56.0
AES,AES,26.7,56.0,-56.0
D,D,26.4,55.0,-55.0
ALB,ALB,26.6,55.0,-55.0
MTB,MTB,26.5,55.0,-55.0
XEL,XEL,26.5,55.0,-55.0
RMD,RMD,26.4,55.0,-55.0
CE,CE,26.1,54.0,-54.0
AAL,AAL,26.4,54.0,-54.0
AEP,AEP,26.1,54.0,-54.0
CL,CL,26.2,54.0,-54.0
NCLH,NCLH,25.9,53.0,-53.0
ZBH,ZBH,26.0,53.0,-53.0
DOV,DOV,25.9,53.0,-53.0
HSY,HSY,26.0,53.0,-53.0
NI,NI,26.0,53.0,-53.0
PNC,PNC,26.1,53.0,-53.0
MCD,MCD,26.0,53.0,-53.0
MKC,MKC,26.1,53.0,-53.0
HAL,HAL,25.6,52.0,-52.0
WYNN,WYNN,25.7,52.0,-52.0
CINF,CINF,25.6,52.0,-52.0
FE,FE,25.6,51.0,-51.0
LEN,LEN,25.4,51.0,-51.0
EL,EL,25.5,51.0,-51.0
AOS,AOS,25.4,51.0,-51.0
GS,GS,25.5,51.0,-51.0
EMN,EMN,25.3,50.0,-50.0
SWK,SWK,25.3,50.0,-50.0
TSLA,TSLA,25.2,50.0,-50.0
CMA,CMA,25.2,50.0,-50.0
ITW,ITW,25.3,50.0,-50.0
OKE,OKE,25.1,50.0,-50.0
PPG,PPG,25.2,50.0,-50.0
WMT,WMT,25.3,50.0,-50.0
HOLX,HOLX,25.0,49.0,-49.0
NDSN,NDSN,24.9,49.0,-49.0
MGM,MGM,24.8,48.0,-48.0
STZ,STZ,24.7,48.0,-48.0
INCY,INCY,24.8,48.0,-48.0
CHTR,CHTR,24.7,48.0,-48.0
FAST,FAST,24.7,48.0,-48.0
ABT,ABT,24.8,48.0,-48.0
SBUX,SBUX,24.7,48.0,-48.0
IP,IP,24.5,47.0,-47.0
TMUS,TMUS,24.6,47.0,-47.0
MS,MS,24.6,47.0,-47.0
PFE,PFE,24.6,47.0,-47.0
CCL,CCL,24.5,47.0,-47.0
GOOGL,GOOGL,24.2,46.0,-46.0
AIG,AIG,24.2,46.0,-46.0
LLY,LLY,24.3,46.0,-46.0
JNJ,JNJ,24.0,45.0,-45.0
DXCM,DXCM,24.0,45.0,-45.0
AIZ,AIZ,24.1,45.0,-45.0
STT,STT,24.1,45.0,-45.0
ED,ED,23.8,44.0,-44.0
NTRS,NTRS,23.9,44.0,-44.0
AME,AME,23.9,44.0,-44.0
T,T,23.9,44.0,-44.0
BDX,BDX,23.8,44.0,-44.0
NSC,NSC,23.9,44.0,-44.0
BAX,BAX,23.6,43.0,-43.0
CB,CB,23.6,43.0,-43.0
SRE,SRE,23.6,43.0,-43.0
