ticker,weight,price,dollar_allocation,shares
GEV,-0.0395677114488153,558.1699829101562,-39567.7114488153,-70.888283
HWM,0.01697356852618891,201.3000030517578,16973.56852618891,84.319763
AVGO,0.036417353442983844,339.9800109863281,36417.35344298384,107.116161
PWR,-0.043442200133969315,426.92999267578125,-43442.200133969316,-101.754856
COR,0.2872844387136711,365.45001220703125,287284.4387136711,786.111449
APH,0.03757852968865746,135.25,37578.52968865746,277.844951
BSX,0.09346676221114324,104.9800033569336,93466.76221114324,890.329198
NVDA,0.054316819307095345,186.86000061035156,54316.81930709534,290.681896
MPC,0.008557473314406745,194.5800018310547,8557.473314406745,43.979203
GE,0.0927390240410758,304.1700134277344,92739.0240410758,304.892067
VST,0.04712238000126842,171.55999755859375,47122.38000126842,274.669974
ANET,0.0182154453220427,130.3000030517578,18215.4453220427,139.7962
WMB,-0.0016325124515706507,59.59000015258789,-1632.5124515706507,-27.395745
ORLY,0.14520715251576455,98.3499984741211,145207.15251576455,1476.432687
CAH,0.02839233850510203,206.05999755859375,28392.33850510203,137.786756
AZO,-0.024994973312265936,3819.2900390625,-24994.973312265935,-6.544403
WELL,0.1251575150182358,191.07000732421875,125157.5150182358,655.034857
GD,0.03194882398121278,344.05999755859375,31948.82398121278,92.858293
JBL,-0.004201322986923994,201.82000732421875,-4201.322986923994,-20.817178
HIG,-0.07928868548734176,133.67999267578125,-79288.68548734176,-593.123054
TKO,0.048106613540094295,182.63999938964844,48106.613540094295,263.395826
GS,-0.07832953114318118,805.5,-78329.53114318119,-97.243366
BK,0.1461338135866225,111.04000091552734,146133.8135866225,1316.046581
WRB,0.062477656713990457,76.95999908447266,62477.65671399046,811.819873
NRG,-0.008638771465487942,166.14999389648438,-8638.771465487942,-51.993812
