ticker,avg_esg_score,count,std
ADBE,10.0,3,0.0
ADSK,10.0,3,0.0
HPE,10.0,3,0.0
IDXX,10.0,3,0.0
TT,10.0,3,0.0
WSM,10.0,3,0.0
ZTS,10.0,3,0.0
PNR,9.9,3,0.1732
AMAT,9.8667,3,0.1155
GILD,9.8667,3,0.2309
VLTO,9.85,2,0.2121
BBY,9.8333,3,0.2887
BG,9.8333,3,0.2887
NXPI,9.8,3,0.3464
MMM,9.7667,3,0.2517
ADP,9.6,3,0.5292
CMI,9.6,3,0.6928
EXPD,9.5333,3,0.6429
GWW,9.5333,3,0.6429
DECK,9.5,3,0.866
INTU,9.5,3,0.5
TSCO,9.5,3,0.866
CLX,9.4667,3,0.9238
ECL,9.4667,3,0.5033
LII,9.4667,3,0.4041
LRCX,9.4667,3,0.6807
CCI,9.4333,3,0.5132
GIS,9.4333,3,0.4619
WAT,9.4333,3,0.5132
KMI,9.3333,3,0.7638
STE,9.3333,3,0.7638
CHRW,9.3,3,0.6245
EW,9.3,3,0.6557
K,9.3,3,1.2124
NOW,9.3,3,1.2124
TXN,9.2667,3,1.2702
CBRE,9.1667,3,0.7095
KEYS,9.1667,3,0.2517
TAP,9.1333,3,0.4041
XYL,9.1333,3,0.1155
BR,9.0,3,0.8888
INTC,9.0,3,0.9165
AMT,8.9,3,0.4583
EQIX,8.9,3,0.9539
NI,8.9,3,0.2
ELV,8.8667,3,0.4041
OKE,8.8667,3,0.5132
CDNS,8.8333,3,1.0214
PRU,8.8333,3,0.4619
HON,8.8,3,1.0817
NVDA,8.8,3,1.3748
WDC,8.8,3,1.044
SNPS,8.7667,3,0.9074
WDAY,8.7333,3,0.7095
CHD,8.7,3,0.5196
IT,8.7,3,0.6928
KMB,8.7,3,1.179
NTAP,8.6667,3,1.1547
PPG,8.6333,3,0.2082
BALL,8.6,3,0.7211
FDS,8.5667,3,0.9292
IQV,8.5667,3,0.8145
MTD,8.5333,3,1.2741
PANW,8.5333,3,1.2858
PEG,8.5333,3,0.6658
COO,8.4667,3,1.2503
AKAM,8.4333,3,1.0504
HD,8.4333,3,0.1155
IBM,8.4333,3,0.0577
SBAC,8.4333,3,0.3512
TRGP,8.4333,3,0.1155
COR,8.3867,3,0.1501
CRM,8.3667,3,0.0577
DLR,8.3667,3,0.7506
IP,8.3667,3,0.0577
J,8.3667,3,1.7039
PTC,8.3667,3,0.0577
ALLE,8.3333,3,0.2082
CARR,8.3333,3,0.2082
FFIV,8.3,3,1.7521
JCI,8.3,3,0.1732
DGX,8.2667,3,0.9238
EME,8.2667,3,0.3215
CI,8.2333,3,0.3055
IEX,8.2333,3,0.1155
KHC,8.2333,3,0.2887
MKC,8.2333,3,0.2887
EA,8.2,3,0.2
LH,8.2,2,0.1414
AXON,8.1667,3,0.0577
BKR,8.1333,3,0.3512
DAL,8.1333,3,0.2517
EQT,8.1333,3,0.1528
HPQ,8.1333,3,0.1528
JBHT,8.1333,3,0.4726
SPGI,8.1333,3,0.7371
TRMB,8.1333,3,0.6351
ULTA,8.1333,3,0.1528
A,8.1,3,0.1732
MCO,8.1,3,0.4583
WST,8.1,3,0.3464
HUM,8.08,3,0.8516
DTE,8.0667,3,0.3055
HRL,8.0333,3,0.4041
LOW,8.0333,3,0.2517
STX,8.0333,3,0.3512
BK,8.0,3,0.1732
CAH,8.0,3,1.9672
ES,8.0,3,0.6245
MCK,8.0,3,0.3606
NDAQ,8.0,3,0.2
POOL,8.0,3,0.2646
BIIB,7.9667,3,0.4041
STT,7.9667,3,0.8622
URI,7.9667,3,0.4726
AMD,7.9333,3,0.1528
FTV,7.9333,3,0.4726
NUE,7.9333,3,0.6028
PNC,7.9333,3,0.3055
STLD,7.9333,3,0.1155
SYF,7.9333,3,0.6028
TGT,7.9,3,0.6083
AVY,7.8667,3,0.3786
DVA,7.8667,3,0.6506
EXC,7.8667,3,0.4619
MSFT,7.8667,3,1.4503
ACN,7.8333,3,0.5132
DE,7.8333,3,0.5859
FSLR,7.8333,3,0.4619
ADM,7.8,3,0.3606
WMB,7.8,3,0.8888
XEL,7.8,3,0.2
HOLX,7.7667,3,0.1155
IRM,7.7667,3,0.1528
KDP,7.7667,3,0.4726
MET,7.7333,3,0.7234
CSCO,7.7,3,0.0
DOV,7.7,3,0.3464
HIG,7.7,3,2.0224
MS,7.7,3,0.1732
MSI,7.7,3,0.7937
AXP,7.6667,3,0.5508
CBOE,7.6667,3,0.8083
HUBB,7.6667,3,0.8021
RVTY,7.6667,3,1.5567
DUK,7.6333,3,0.3512
LNT,7.6333,3,0.3512
MLM,7.6333,3,0.6807
MOH,7.6333,3,0.6506
DOW,7.6,3,0.6928
FICO,7.6,3,0.4359
PAYX,7.6,3,0.5196
VRTX,7.6,3,1.0392
WY,7.6,3,0.0
BXP,7.5667,3,0.2887
IR,7.5667,3,0.2082
MA,7.5667,3,0.7371
PWR,7.5667,3,0.8021
V,7.5667,3,0.4509
D,7.5333,3,0.0577
IFF,7.5333,3,0.7767
KO,7.5333,3,1.2014
PGR,7.5333,3,1.893
ROK,7.5333,3,0.3215
ZBH,7.5333,3,0.9074
DHR,7.5,3,0.7
RJF,7.5,3,1.249
WELL,7.5,3,0.3606
CNC,7.4667,3,0.7767
INCY,7.4667,3,0.6351
PSX,7.4667,3,0.5132
CAT,7.4333,3,0.8083
LHX,7.4333,3,0.7024
LYB,7.4333,3,0.8737
TPR,7.4333,3,0.9452
WTW,7.4333,3,0.8083
ANET,7.3667,3,0.3055
GEN,7.3667,3,0.9504
LULU,7.3667,3,0.2082
NEE,7.3667,3,0.2517
LDOS,7.3333,3,0.3215
AMCR,7.3,3,0.5
GPC,7.3,3,0.9165
GS,7.3,3,0.8185
HBAN,7.3,3,0.6083
TRV,7.3,3,0.8888
CMS,7.2667,3,0.4933
COP,7.2333,3,0.9292
EVRG,7.2333,3,0.2309
UNP,7.2333,3,0.7371
CL,7.2,3,1.1136
DOC,7.2,3,0.2
SLB,7.2,3,0.6
FIS,7.1667,3,0.7095
DLTR,7.1333,3,0.3215
NEM,7.1333,3,1.0693
PHM,7.1333,3,0.5686
VLO,7.1333,3,0.4509
GDDY,7.1,3,0.6083
KR,7.1,3,1.8193
NOC,7.1,3,0.6557
ODFL,7.1,3,1.0583
PODD,7.1,3,0.2646
REG,7.1,3,0.3606
RF,7.1,3,0.7
FANG,7.0667,3,0.5508
SW,7.05,2,0.3536
ADI,7.0333,3,1.6042
AMGN,7.0333,3,0.7767
MMC,7.0333,3,0.5508
PG,7.0333,3,0.3055
TROW,7.0333,3,1.5535
CSX,7.0,3,0.7
KVUE,7.0,3,1.8248
